id,address,beds,baths,area,price,zestimate,best_deal,Lat,Long,Neighborhood_Geopy,pricem
2105276105,"119 Park Dr, Boston, MA 02215",0.0,1.0,,"$1,900/mo",0,1900.0,42.3418,-71.0973,Fenway/Kenmore,1900
2088044115,"354 Marlborough St, Boston, MA 02115",0.0,1.0,800,"$1,950/mo",0,1950.0,42.3506,-71.086,Back Bay,1950
189924445,"1763 Commonwealth Ave, Brighton, MA 02135",0.0,1.0,2685,"$2,000/mo",0,2000.0,42.3415,-71.1504,Brighton,2000
2060612269,"1 bed, 1.0 bath, 550 sqft, $2,050, 40 Gardner St #8, Allston, MA 02134",1.0,1.0,550,"$2,050/mo",0,2050.0,42.3538,-71.1296,Allston,2050
2080371414,"1322 Commonwealth Ave APT 11A, Allston, MA 02134",1.0,1.0,650,"$2,050/mo",0,2050.0,42.3481,-71.1347,Allston,2050
2060529820,"Ridgecrest Village, 5120 Washington St #122-04, West Roxbury, MA 02132",1.0,1.0,753,"$2,085/mo",0,2085.0,42.2628,-71.155,Roxbury,2085
2060521078,"1381-1383 Commonwealth Ave #BASEMENT, Allston, MA 02134",1.0,1.0,9999,"$2,095/mo",0,2095.0,42.3488,-71.1373,Allston,2095
2119675710,"51 Brackett St APT 1, Brighton, MA 02135",3.0,1.0,1100,"$2,150/mo",0,2150.0,42.3517,-71.1649,Brighton,2150
2060744062,"117 N Washington St #33, Boston, MA 02113",0.0,1.0,,"$2,195/mo",0,2195.0,42.3449,-71.1449,Brighton,2195
2060610363,"(undisclosed Address), Brighton, MA 02135",1.0,1.0,490,"$2,200/mo",0,2200.0,,,No Details,2200
2119563687,"208 Kelton St #1, Allston, MA 02134",3.0,1.0,1150,"$2,200/mo",0,2200.0,42.3473,-71.1372,Allston,2200
2064129701,"101 Monmouth St, Boston, MA 02128",0.0,1.0,700,"$2,200/mo",0,2200.0,42.3794,-71.0388,East Boston,2200
2060656044,"2 bed, 1.0 bath, $2,300, 69 Euston Rd #5, Brighton, MA 02135",2.0,1.0,,"$2,300/mo",0,2300.0,42.3433,-71.1457,Brighton,2300
2103891451,"9 Pinckney St #4, Boston, MA 02114",1.0,1.0,400,"$2,300/mo",0,2300.0,42.3589,-71.0654,Beacon Hill,2300
2061693929,"Hamilton Union, 435 Cambridge St #8A, Allston, MA 02134",1.0,1.0,525,"$2,300/mo",0,2300.0,42.3552,-71.1346,Allston,2300
