BusinessName,Address,ZIP,DESCRIPT,Latitude,Longitude,Neighborhood_Geopy
Ascia Foods,100 Malcolm X,2119,Eating & Drinking,42.3309,-71.0934,Roxbury
Ashburton Cafe,1 Ashburton,2114,Eating & Drinking,42.3593,-71.0624,Beacon Hill
ASHMONT GRILL,555 Talbot,2124,Eating & Drinking,42.2861,-71.0647,Dorchester
Asian Thai Eatery,1064 River,2136,Eating & Drinking,42.2588,-71.1177,Hyde Park
Assembly on 2,100 Summer,2110,Eating & Drinking,42.3536,-71.0574,Downtown Boston
ATLANTIC FISH COMPANY,761 Boylston,2116,Eating & Drinking,42.3494,-71.0812,Back Bay
ATRIUM CAFE/HARVARD MED.SCHOOL,260 Longwood,2115,Eating & Drinking,42.337,-71.1042,Fenway/Kenmore
Au Bon Pain,101 Merrimac,2114,Eating & Drinking w/ Take Out,42.3638,-71.0617,West End
Au Bon Pain,17 Blackfan,2115,Eating & Drinking w/ Take Out,42.3374,-71.1063,Fenway/Kenmore
Au Bon Pain,26 Park,2116,Eating & Drinking w/ Take Out,42.3514,-71.0691,Back Bay
Au Bon Pain,640 Atlantic,2111,Eating & Drinking w/ Take Out,42.3629,-71.0513,North End
Au Bon Pain,75 Francis,2115,Eating & Drinking w/ Take Out,42.3361,-71.1075,Fenway/Kenmore
Au Bon Pain,800 Washington,2111,Eating & Drinking w/ Take Out,42.3496,-71.0636,No Details
Au Bon Pain,90 Oliver,2110,Eating & Drinking w/ Take Out,42.3563,-71.0518,Downtown Boston
Audubon,838 Beacon,2215,Eating & Drinking,42.3474,-71.1032,Fenway/Kenmore
AUNTIE VIE'S BAKERY & CAFE,538 Dudley,2119,Eating & Drinking w/ Take Out,42.3216,-71.072,Roxbury
Avana Express Bar,40 Harrison,2111,Eating & Drinking w/ Take Out,42.3516,-71.061,No Details
Avana Market Place,40 Harrison,2111,Eating & Drinking w/ Take Out,42.3517,-71.061,No Details
Avana Sushi,58 Franklin,2110,Eating & Drinking,42.3558,-71.0585,Downtown Boston
Azama Grill,44 Harvard,2134,Eating & Drinking w/ Take Out,42.3545,-71.1323,Allston
B & G OYSTERS LTD.,550 Tremont,2116,Eating & Drinking,42.3439,-71.0713,South End
B Nutritious,204 Cambridge,2114,Eating & Drinking w/ Take Out,42.361,-71.0659,Beacon Hill
B. Good,100 Terminal,2128,Eating & Drinking,42.3645,-71.0218,East Boston
B. U. Einsteins Bagels,685 Commonwealth,2215,Eating & Drinking w/ Take Out,42.3501,-71.1043,Fenway/Kenmore
B.U. SCHOOL OF MANAGEMENT,595 Commonwealth,2215,Eating & Drinking,42.3496,-71.0998,Fenway/Kenmore
B.U. WEST CAMPUS,278 Babcock,2134,Eating & Drinking,42.3532,-71.1221,Allston
BACCO RISTORANTE & BAR,107 Salem,2113,Eating & Drinking,42.3642,-71.0554,North End
Back Bay Social Club,867 Boylston,2116,Eating & Drinking,42.3487,-71.0834,Back Bay
Back Deck,10 West,2111,Eating & Drinking,42.3544,-71.0622,Downtown Boston
BACKWOODS PIZZA,539 Dudley,2119,Eating & Drinking w/ Take Out,42.3217,-71.0725,Roxbury
Bailey & Sage,131 Dartmouth,2116,Eating & Drinking w/ Take Out,42.3468,-71.0754,South End
Bailey and Sage,100 Federal,2110,Eating & Drinking w/ Take Out,42.3548,-71.0561,Downtown Boston
Bain Capital (40th Fl),200 Clarendon,2116,Eating & Drinking,42.3492,-71.0751,Back Bay
BALE RESTAURANT,1052 Dorchester,2125,Eating & Drinking w/ Take Out,42.3148,-71.0566,Dorchester
Ban Toi Restaurant,1035 Dorchester,2125,Eating & Drinking,42.3153,-71.0569,Dorchester
BANGKOK BISTRO,433 Washington,2135,Eating & Drinking w/ Take Out,42.3493,-71.1568,Brighton
Bangkok Pinto,1041 Tremont,2120,Eating & Drinking w/ Take Out,42.3366,-71.0857,South End
Banh Mi Huong Que,696 Washington,2111,Eating & Drinking w/ Take Out,42.3511,-71.0627,No Details
Bani Restaurant,4541 Washington,2131,Eating & Drinking,42.2783,-71.1372,Roslindale
Banners Kitchen and Tap,80 Causeway,2114,Eating & Drinking,42.3657,-71.0617,West End
Banyan Bar & Refuge,537 Tremont,2116,Eating & Drinking,42.3447,-71.0714,South End
Bar A Vin 1855,259 Newbury,2116,Eating & Drinking,42.3496,-71.0832,Back Bay
Bar Cichetti,54 Devonshire,2109,Eating & Drinking,42.3583,-71.0571,Downtown Boston
Bar Volpe,170 Broadway,2127,Eating & Drinking,42.3405,-71.0529,South Boston
Barcelona Restaurant,503 Tremont,2116,Eating & Drinking,42.3449,-71.0708,South End
BARNES & NOBLE BOOKSELLERS (R),800 Boylston,2199,Eating & Drinking,42.3473,-71.0815,Back Bay
BARNEY'S GRILL,299 Havre,2128,Eating & Drinking,42.3765,-71.0338,East Boston
BARRY'S BOOTCAMP,10 Huntington,2116,Eating & Drinking,42.3485,-71.0773,Back Bay
BARRY'S BOOTCAMP,38 Chauncy,2111,Eating & Drinking,42.3538,-71.0598,Downtown Boston
Basho Express,685 Commonwealth,2215,Eating & Drinking w/ Take Out,42.3501,-71.1045,Fenway/Kenmore
Basho Japanese Brasserie,1310 Boylston,2215,Eating & Drinking,42.3441,-71.0984,Fenway/Kenmore
Basho Japanese Sushi@B.U.(G.S.U.),775 Commonwealth,2215,Eating & Drinking w/ Take Out,42.3509,-71.109,Fenway/Kenmore
Basile- Fine Italian Kitchen,162 Columbus,2116,Eating & Drinking,42.3493,-71.0706,Back Bay
BATTERY WHARF HOTEL BOSTON WATERFRONT,2 Battery,2109,Eating & Drinking,42.3672,-71.0502,North End
Beacon Cafe @Univ. of Mass Boston,100 William T Morrissey,2125,Eating & Drinking,42.3131,-71.0389,Dorchester
Beacon Hill Pub,147 Charles,2114,Eating & Drinking,42.3605,-71.0706,Beacon Hill
Bean & Leaf Cafe,20 Custom House,2111,Eating & Drinking w/ Take Out,42.3581,-71.0531,Downtown Boston
Beantown Pho & Grill,272 Newbury,2116,Eating & Drinking,42.3491,-71.0834,Back Bay
Beantown Pub/Ziggy's Coffee Bar,100 Tremont,2108,Eating & Drinking w/ Take Out,42.3572,-71.061,Downtown Boston
Beatnic,399 Boylston,2116,Eating & Drinking,42.3518,-71.0721,Back Bay
Bell In Hand,45 Union,2108,Eating & Drinking,42.3616,-71.0571,No Details
Bella Vista,288 Hanover,2113,Eating & Drinking,42.364,-71.0545,North End
Ben & Jerry's,174 Newbury,2116,Eating & Drinking w/ Take Out,42.3503,-71.079,Back Bay
Ben & Jerry's (Kiosk),800 Boylston,2199,Eating & Drinking w/ Take Out,42.3473,-71.0815,Back Bay
Ben Cotto,357 Hanover,2113,Eating & Drinking,42.3647,-71.0534,North End
Benevento's,111 Salem,2113,Eating & Drinking,42.3643,-71.0554,North End
Bennetts Sandwich Shop,84 Peterborough,2215,Eating & Drinking,42.3431,-71.0988,Fenway/Kenmore
Berkeley Bistro,200 Berkeley,2116,Eating & Drinking w/ Take Out,42.3501,-71.0729,Back Bay
BERKELEY PERK CAFE,69 Berkeley,2116,Eating & Drinking w/ Take Out,42.3468,-71.0706,South End
Best Fried Chicken,1198 Blue Hill,2126,Eating & Drinking w/ Take Out,42.2837,-71.092,Mattapan
Beth Israel Deaconess,330 Brookline,2115,Eating & Drinking,42.3398,-71.1057,Fenway/Kenmore
BGood,665 Boylston,2116,Eating & Drinking,42.35,-71.0787,Back Bay
Biddy Earlys,141 Pearl,2110,Eating & Drinking,42.3546,-71.0537,Downtown Boston
BIG DADDY HOT DOGS,10 Whittier,2114,Eating & Drinking w/ Take Out,42.3657,-71.0666,West End
Big Night Live,80 Causeway,2114,Eating & Drinking,42.3657,-71.0617,West End
Bijou Night Club,51 Stuart,2116,Eating & Drinking,42.3512,-71.0641,No Details
Billares Colombia,16 Bennington,2128,Eating & Drinking,42.3753,-71.0383,East Boston
Bill's Bar,7 Lansdowne,2215,Eating & Drinking,42.3473,-71.095,Fenway/Kenmore
Billy's Sub Shop,57 Berkeley,2116,Eating & Drinking w/ Take Out,42.3466,-71.0705,South End
BILLY'S TEXAS B.B.Q.,530 Washington,2124,Eating & Drinking,42.293,-71.0716,Dorchester
Bin 26 Enoteca,26 Charles,2114,Eating & Drinking,42.3567,-71.07,Beacon Hill
BISHOP'S MEDITERRANEAN,70 Staniford,2114,Eating & Drinking w/ Take Out,42.3627,-71.0642,West End
Bisq Meat & Sandwiches,201 Brookline,2215,Eating & Drinking w/ Take Out,42.3446,-71.1022,Fenway/Kenmore
Bistro du Midi,272 Boylston,2116,Eating & Drinking,42.3519,-71.0697,Beacon Hill
Black Rose,160 State,2109,Eating & Drinking,42.3594,-71.0538,Downtown Boston
Black Seeds,131 Tremont,2111,Eating & Drinking,42.356,-71.0621,Beacon Hill
Blackbird Doughnuts,100 High,2110,Eating & Drinking w/ Take Out,42.3544,-71.0554,Downtown Boston
Blackbird Doughnuts & Sally's Sandwiches,460 Tremont,2116,Eating & Drinking w/ Take Out,42.3458,-71.0691,South End
Blackmoor Bar & Kitchen,1 Chelsea,2129,Eating & Drinking,42.3712,-71.0617,Charlestown
Blaze Pizza,123 Stuart,2116,Eating & Drinking,42.3514,-71.0657,No Details
Blaze Pizza,961 Commonwealth,2215,Eating & Drinking,42.3519,-71.1191,Allston
Bleacher Bar,70 Lansdowne,2215,Eating & Drinking,42.3471,-71.0983,Fenway/Kenmore
Blu,4 Avery,2111,Eating & Drinking,42.3531,-71.0629,Downtown Boston
Blue Asia Cafe,101 Brighton,2134,Eating & Drinking,42.3531,-71.1306,Allston
Blue Bottle Coffee,163 Newbury,2116,Eating & Drinking w/ Take Out,42.3508,-71.0788,Back Bay
Blue Bottle Coffee,800 Boylston,2199,Eating & Drinking,42.3473,-71.0815,Back Bay
Blue Cross Blue Sheild of Ma. Cafe,101 Huntington,2199,Eating & Drinking,42.3469,-71.0806,Back Bay
Blue Hill House of Pizza,161 Blue Hill,2119,Eating & Drinking w/ Take Out,42.3193,-71.078,Roxbury
Blue Mountain Jamaican Restaurant,884 Morton,2124,Eating & Drinking,42.281,-71.0846,Mattapan
BLUE STAR RESTAURANT,11 Corinth,2131,Eating & Drinking,42.2864,-71.1304,Roslindale
Blue Yama,418 Market,2135,Eating & Drinking,42.3493,-71.1532,Brighton
Bluestone Lane,125 High,2110,Eating & Drinking w/ Take Out,42.3553,-71.0531,Downtown Boston
BO9/CO9/Y7,4 Jersey,2215,Eating & Drinking w/ Take Out,42.3467,-71.0987,Fenway/Kenmore
Boba Me,1520 Tremont,2120,Eating & Drinking w/ Take Out,42.3322,-71.0998,Mission Hill
Bodega Canal,57 Canal,2114,Eating & Drinking,42.3639,-71.0591,West End
Bohemios Restaurant,30 Bennington,2128,Eating & Drinking w/ Take Out,42.3754,-71.038,East Boston
Boloco,133 Federal,2110,Eating & Drinking w/ Take Out,42.3543,-71.0566,Downtown Boston
Boloco,48 Congress,2109,Eating & Drinking w/ Take Out,42.358,-71.056,Downtown Boston
Boloco - Berklee,1080 Boylston,2215,Eating & Drinking w/ Take Out,42.347,-71.088,Fenway/Kenmore
Boloco Inspired Burritos,2 Park,2116,Eating & Drinking w/ Take Out,42.3523,-71.0671,No Details
BON APPETIT RESTAURANT,1138 Blue Hill,2124,Eating & Drinking w/ Take Out,42.2858,-71.0913,Mattapan
Bon Me,415 Brookline,2215,Eating & Drinking,42.3387,-71.1078,Fenway/Kenmore
Bon Me,441 Stuart,2116,Eating & Drinking,42.3486,-71.076,Back Bay
Bon Me Restaurant,313 Congress,2210,Eating & Drinking w/ Take Out,42.3511,-71.0502,South Boston
Bonapita,51 Franklin,2110,Eating & Drinking w/ Take Out,42.3554,-71.0588,Downtown Boston
Bonapita,77 Spring,2132,Eating & Drinking,42.2778,-71.164,Roxbury
Bonchon Allston,101 Brighton,2134,Eating & Drinking,42.3531,-71.1306,Allston
Bonne Chance Cafe,77 Canal,2114,Eating & Drinking,42.3642,-71.0595,West End
BOS' Sichuan Taste,204 Harvard,2134,Eating & Drinking,42.35,-71.1305,Allston
BOSTON BACK BAY HILTON,40 Dalton,2115,Eating & Drinking,42.3464,-71.0853,Fenway/Kenmore
Boston Bagel Company,753 Broadway,2127,Eating & Drinking,42.3354,-71.0352,South Boston
Boston Burger,1100 Boylston,2215,Eating & Drinking,42.3468,-71.0885,Fenway/Kenmore
BOSTON COLLEGE CLUB,100 Federal,2110,Eating & Drinking,42.3548,-71.0561,Downtown Boston
Boston Harbor Distillery,12R Ericsson,2122,Eating & Drinking,42.2921,-71.041,Dorchester
Boston Harbor Hotel Wharf Room,40 Rowes,2110,Eating & Drinking,42.3567,-71.0497,North End
Boston Kebab House,44 Kilby,2109,Eating & Drinking,42.3581,-71.0553,Downtown Boston
Boston Kitchen Pizza,707 Washington,2111,Eating & Drinking w/ Take Out,42.3511,-71.0631,Downtown Boston
Boston Living Center,29 Stanhope,2116,Eating & Drinking,42.3486,-71.073,Back Bay
Boston Lodge of Elks #10,1 Morrell,2132,Eating & Drinking,42.2737,-71.1693,Roxbury
Boston Marriott Long Wharf - FS,296 State,2110,Eating & Drinking,42.3601,-71.0509,North End
Boston Marriott Longwharf,296 State,2110,Eating & Drinking,42.3601,-71.0509,North End
Boston News Cafe,28 State,2109,Eating & Drinking,42.3593,-71.0575,Downtown Boston
Boston News Cafe (90 Arch St.),90 Arch,2110,Eating & Drinking w/ Take Out,42.3547,-71.0584,Downtown Boston
Boston Opera House,539 Washington,2111,Eating & Drinking w/ Take Out,42.354,-71.0624,Downtown Boston
Boston Park Plaza (Main Kitchen/Room Serv.),50 Park,2116,Eating & Drinking,42.3513,-71.0692,Back Bay
Boston Park Plaza Employee Cafeteria(3rdFl),50 Park,2116,Eating & Drinking,42.3513,-71.0692,Back Bay
Boston Pizza & Grill,533 Columbia,2125,Eating & Drinking w/ Take Out,42.3157,-71.066,Dorchester
BOSTON SAIL LOFT,80 Atlantic,2110,Eating & Drinking,42.3625,-71.0507,North End
Boston Scoops,200 Faneuil Hall Marketplace,2109,Eating & Drinking w/ Take Out,42.3602,-71.0548,No Details
Bostonia Public House,131 State,2109,Eating & Drinking,42.359,-71.0542,Downtown Boston
BOURBON ST. CAFE,417 Washington,2108,Eating & Drinking w/ Take Out,42.3558,-71.0604,Downtown Boston
